upload_date,club_name,contract_seats,active_users,reports_created,shortlist_edits,searches_performed,shortlists_usage,scouting_status_usage,appointments_created,area_search_visits,squad_planner_visits,club2club_visits,speech2report_count,lineup_detector_count,push_alerts_sent,mail_alerts_sent,custom_dashboards_count,players_created,teams_created,matches_created,data_conflicts_current,data_conflicts_resolved
2024-08-31,FC Bayern Munich,50,38,285,14,142,82,41,28,115,88,55,1890,4200,3100,780,140,1320,38,820,8,132
2024-09-30,FC Bayern Munich,50,41,310,16,155,89,44,31,122,92,58,2050,4500,3250,810,148,1400,41,860,7,140
2024-10-31,FC Bayern Munich,50,40,298,13,148,85,42,29,118,90,54,1950,4350,3180,790,144,1370,39,840,9,138
2024-11-30,FC Bayern Munich,50,43,325,18,162,93,47,33,128,96,62,2150,4650,3380,835,155,1460,43,890,6,148
2024-12-31,FC Bayern Munich,50,36,270,11,130,75,38,25,105,82,48,1750,3900,2900,720,130,1250,35,780,11,125
2025-01-31,FC Bayern Munich,50,44,340,19,168,96,49,35,132,98,64,2250,4800,3450,850,160,1500,45,910,5,155
2024-08-31,Borussia Dortmund,45,35,260,12,128,75,38,25,105,80,50,1720,3800,2850,710,128,1200,35,750,9,120
2024-09-30,Borussia Dortmund,45,37,278,14,138,80,40,27,112,85,53,1840,4050,3020,740,135,1280,37,790,8,128
2024-10-31,Borussia Dortmund,45,36,268,11,132,77,39,26,108,82,51,1780,3920,2940,725,131,1240,36,770,10,124
2024-11-30,Borussia Dortmund,45,39,295,16,148,85,43,30,120,90,57,1960,4280,3180,770,142,1350,40,830,7,135
2024-12-31,Borussia Dortmund,45,33,245,9,118,70,35,22,98,75,45,1620,3580,2680,680,120,1150,33,720,12,115
2025-01-31,Borussia Dortmund,45,40,305,17,155,88,45,32,125,92,60,2020,4420,3280,790,148,1400,42,860,6,142
2024-08-31,RB Leipzig,38,28,218,10,108,62,32,21,88,66,42,1440,3180,2380,590,108,1000,29,630,8,100
2024-09-30,RB Leipzig,38,30,235,12,118,67,34,23,95,71,45,1550,3420,2560,620,114,1080,31,670,7,108
2024-10-31,RB Leipzig,38,29,225,9,112,64,33,22,91,68,43,1490,3290,2470,605,111,1040,30,650,9,104
2024-11-30,RB Leipzig,38,32,250,14,128,72,37,26,102,76,48,1650,3600,2700,650,120,1140,33,710,6,115
2024-12-31,RB Leipzig,38,26,205,7,100,58,30,19,82,62,38,1360,3000,2250,560,102,950,27,600,11,95
2025-01-31,RB Leipzig,38,33,260,15,135,75,39,28,108,78,52,1720,3750,2800,670,125,1180,35,740,5,120
2024-08-31,Bayer Leverkusen,35,25,195,9,98,56,28,18,78,60,38,1280,2850,2140,530,96,900,26,560,7,90
2024-09-30,Bayer Leverkusen,35,27,212,11,108,61,31,20,85,64,41,1390,3080,2320,560,102,970,28,600,6,98
2024-10-31,Bayer Leverkusen,35,26,202,8,102,58,29,19,81,62,39,1330,2960,2230,545,99,935,27,580,8,94
2024-11-30,Bayer Leverkusen,35,29,228,13,118,66,34,23,92,69,44,1480,3260,2450,590,108,1030,30,640,5,105
2024-12-31,Bayer Leverkusen,35,23,182,6,90,52,26,16,72,56,34,1200,2680,2010,505,90,850,24,530,10,85
2025-01-31,Bayer Leverkusen,35,30,238,14,125,69,36,25,96,72,46,1550,3400,2550,610,112,1060,32,660,4,110
2024-08-31,VfB Stuttgart,25,18,138,7,68,40,20,13,55,42,26,910,2020,1520,375,68,640,18,400,6,65
2024-09-30,VfB Stuttgart,25,19,150,8,75,43,22,14,60,45,28,980,2180,1640,395,72,690,20,425,5,70
2024-10-31,VfB Stuttgart,25,18,142,6,70,41,21,13,57,43,27,940,2090,1570,385,70,660,19,410,7,67
2024-11-30,VfB Stuttgart,25,21,162,10,82,48,25,16,65,50,32,1050,2320,1740,420,78,730,22,450,4,75
2024-12-31,VfB Stuttgart,25,16,128,5,62,37,18,11,50,38,24,840,1880,1410,355,64,600,17,380,9,60
2025-01-31,VfB Stuttgart,25,22,170,11,88,50,26,18,68,52,34,1100,2450,1830,435,82,760,23,470,3,80
2024-08-31,SC Freiburg,20,14,108,5,52,32,16,10,42,33,20,720,1600,1200,295,54,500,14,310,5,52
2024-09-30,SC Freiburg,20,15,118,6,58,35,18,11,46,36,22,780,1730,1300,310,58,540,16,335,4,56
2024-10-31,SC Freiburg,20,14,112,5,54,33,17,10,44,34,21,750,1660,1250,302,56,520,15,322,6,54
2024-11-30,SC Freiburg,20,16,128,8,64,38,20,13,50,40,25,840,1840,1380,330,62,580,18,360,4,60
2024-12-31,SC Freiburg,20,12,98,4,48,29,14,9,38,30,18,660,1480,1110,280,50,470,13,290,8,48
2025-01-31,SC Freiburg,20,17,135,9,68,40,21,14,54,42,27,880,1920,1440,340,65,600,19,375,3,64
2024-08-31,Union Berlin,15,10,78,4,38,24,12,8,32,24,15,540,1200,900,220,40,380,10,235,4,40
2024-09-30,Union Berlin,15,11,85,5,42,26,13,9,35,26,16,580,1300,975,235,43,410,11,255,4,43
2024-10-31,Union Berlin,15,10,80,4,40,25,12,8,33,25,15,560,1250,938,228,42,395,10,245,5,41
2024-11-30,Union Berlin,15,12,95,6,48,29,15,10,38,30,19,630,1380,1040,250,47,440,13,275,3,46
2024-12-31,Union Berlin,15,9,72,3,35,22,11,7,29,22,14,500,1120,840,210,38,355,9,220,7,37
2025-01-31,Union Berlin,15,13,100,7,52,31,16,11,42,32,20,660,1450,1090,260,50,460,14,290,3,50
2024-08-31,FC Augsburg,12,8,62,3,30,19,10,6,25,19,12,430,960,720,178,32,300,8,188,4,32
2024-09-30,FC Augsburg,12,9,68,4,34,21,11,7,28,21,13,470,1040,780,190,35,325,9,205,3,35
2024-10-31,FC Augsburg,12,8,64,3,32,20,10,6,26,20,12,450,1000,750,184,33,312,8,196,5,33
2024-11-30,FC Augsburg,12,10,76,5,38,23,12,8,31,24,15,505,1110,830,202,38,350,10,220,3,37
2024-12-31,FC Augsburg,12,7,58,2,28,18,9,5,23,18,11,400,900,675,168,30,285,7,178,6,30
2025-01-31,FC Augsburg,12,10,80,5,42,24,13,9,33,25,16,530,1160,870,210,40,368,11,232,2,40
2024-08-31,SV Darmstadt,10,6,48,2,24,15,8,5,20,15,10,340,760,570,140,25,240,6,150,3,25
2024-09-30,SV Darmstadt,10,7,55,3,28,17,9,6,22,17,11,380,850,638,152,28,262,7,168,3,28
2024-10-31,SV Darmstadt,10,6,50,2,25,16,8,5,21,16,10,358,800,600,146,26,250,6,158,4,26
2024-11-30,SV Darmstadt,10,8,62,4,32,19,10,7,25,20,13,410,920,690,165,31,285,8,182,2,30
2024-12-31,SV Darmstadt,10,5,44,2,22,14,7,4,18,14,9,315,710,532,132,24,225,5,142,5,23
2025-01-31,SV Darmstadt,10,8,65,4,34,20,11,7,27,21,14,430,960,720,170,32,295,9,190,2,32
2024-08-31,FC Heidenheim,8,5,38,2,18,12,6,4,15,12,8,270,600,450,112,20,190,5,118,3,20
2024-09-30,FC Heidenheim,8,5,42,2,22,13,7,4,18,13,9,300,680,510,122,22,210,5,132,2,22
2024-10-31,FC Heidenheim,8,5,40,2,20,12,6,4,16,12,8,285,640,480,118,21,200,5,125,4,21
2024-11-30,FC Heidenheim,8,6,48,3,25,15,8,5,20,16,10,325,730,550,132,25,228,6,145,2,24
2024-12-31,FC Heidenheim,8,4,35,1,16,11,5,3,14,10,7,250,565,425,105,18,178,4,110,5,18
2025-01-31,FC Heidenheim,8,6,52,4,28,16,9,6,22,17,11,345,770,580,138,26,240,7,155,2,26
