upload_date,club_name,contract_seats,active_users,reports_created,shortlist_edits,searches_performed,shortlists_usage,scouting_status_usage,appointments_created,area_search_visits,squad_planner_visits,club2club_visits,speech2report_count,lineup_detector_count,push_alerts_sent,mail_alerts_sent,custom_dashboards_count,players_created,teams_created,matches_created,data_conflicts_current,data_conflicts_resolved
2026-02-01,FC Bayern Munich,50,39,337,20,175,96,48,37,104,109,58,2101,4588,3657,1007,164,1683,55,1025,11,155
2026-03-01,FC Bayern Munich,50,41,336,21,198,99,42,34,135,120,61,2563,4813,3134,820,185,1491,48,1046,5,181
2026-02-01,Borussia Dortmund,45,41,258,18,151,84,34,36,103,101,47,1773,3969,3009,834,173,1210,49,967,6,116
2026-03-01,Borussia Dortmund,45,43,329,15,147,93,52,28,144,103,69,2152,4638,3372,895,167,1428,51,701,10,145
2026-02-01,RB Leipzig,38,29,250,14,109,57,43,29,105,72,60,1370,3858,2205,653,133,1015,39,590,7,97
2026-03-01,RB Leipzig,38,29,267,14,158,69,42,23,96,76,58,2071,3387,3179,650,105,1109,39,624,4,116
2026-02-01,Bayer Leverkusen,35,28,194,13,131,66,37,28,86,69,50,1565,2728,2115,773,117,1006,39,549,7,123
2026-03-01,Bayer Leverkusen,35,27,249,12,95,58,38,21,96,61,48,1496,3195,2771,655,118,962,38,583,8,91
2026-02-01,VfB Stuttgart,25,23,147,10,68,48,21,17,55,49,30,1159,2609,1871,470,82,805,21,378,3,79
2026-03-01,VfB Stuttgart,25,19,139,7,94,45,23,20,69,53,42,1046,2258,2022,497,79,736,25,493,4,70
2026-02-01,SC Freiburg,20,16,107,8,75,35,21,15,55,40,28,919,2218,1377,308,68,559,21,320,4,51
2026-03-01,SC Freiburg,20,18,148,6,68,45,21,14,54,41,27,923,1709,1531,348,75,652,21,428,3,74
2026-02-01,Union Berlin,15,14,108,5,40,22,15,8,31,28,20,688,1237,1011,246,42,470,13,244,2,43
2026-03-01,Union Berlin,15,14,102,5,41,26,16,11,48,29,17,581,1264,1022,271,52,522,15,246,2,51
2026-02-01,FC Augsburg,12,11,75,4,35,22,12,8,36,26,19,603,1303,881,211,39,417,10,191,2,38
2026-03-01,FC Augsburg,12,11,68,5,42,19,10,9,38,25,18,515,1160,801,211,34,405,12,226,1,32
2026-02-01,SV Darmstadt,10,8,57,4,36,21,10,6,31,17,13,481,920,565,164,28,241,9,148,1,34
2026-03-01,SV Darmstadt,10,8,56,3,31,16,11,8,29,25,13,444,1008,636,218,28,292,10,214,1,30
2026-02-01,FC Heidenheim,8,7,58,3,24,13,8,6,24,14,11,296,903,537,137,22,249,6,150,1,28
2026-03-01,FC Heidenheim,8,6,59,3,31,16,8,6,17,19,10,406,971,542,166,25,247,8,145,0,27
