upload_date,club_name,user_id,user_name,role,last_login_date,logins_30d,reports_created_30d,searches_30d
2025-01-31,FC Bayern Munich,USR-10001,Admin User 1,Scout;Admin,2025-01-08,14,12,38
2025-01-31,FC Bayern Munich,USR-10002,Admin User 2,Scout;Admin,2025-01-18,14,12,42
2025-01-31,FC Bayern Munich,USR-10003,Admin User 3,Scout;Admin,2025-01-19,16,13,51
2025-01-31,FC Bayern Munich,USR-10004,Admin User 4,Scout;Admin,2025-01-03,14,11,53
2025-01-31,FC Bayern Munich,USR-10005,Scout User 5,Scout,2025-01-24,18,10,38
2025-01-31,FC Bayern Munich,USR-10006,Scout User 6,Scout,2025-01-19,10,13,37
2025-01-31,FC Bayern Munich,USR-10007,Scout User 7,Scout;Squad Manager;Squad Planner,2025-01-23,15,14,42
2025-01-31,FC Bayern Munich,USR-10008,Scout User 8,Scout,2025-01-27,15,13,37
2025-01-31,FC Bayern Munich,USR-10009,Scout User 9,Scout,2025-01-06,18,11,32
2025-01-31,FC Bayern Munich,USR-10010,Scout User 10,Scout;Admin,2025-01-08,17,11,28
2025-01-31,FC Bayern Munich,USR-10011,Scout User 11,Scout,2025-01-31,16,13,31
2025-01-31,FC Bayern Munich,USR-10012,Scout User 12,Scout;Admin,2025-01-14,18,8,27
2025-01-31,FC Bayern Munich,USR-10013,Scout User 13,Scout;Admin,2025-01-07,10,9,35
2025-01-31,FC Bayern Munich,USR-10014,Scout User 14,Scout;Admin;Squad Planner,2025-01-07,16,12,32
2025-01-31,FC Bayern Munich,USR-10015,Scout User 15,Scout,2025-01-31,18,14,29
2025-01-31,FC Bayern Munich,USR-10016,Scout User 16,Scout;Admin,2025-01-09,18,9,40
2025-01-31,FC Bayern Munich,USR-10017,Scout User 17,Scout;Club2Club,2025-01-10,15,11,31
2025-01-31,FC Bayern Munich,USR-10018,Scout User 18,Scout,2025-01-31,11,14,42
2025-01-31,FC Bayern Munich,USR-10019,Scout User 19,Scout;Admin,2025-01-07,10,10,31
2025-01-31,FC Bayern Munich,USR-10020,Scout User 20,Scout,2025-01-07,14,9,35
2025-01-31,FC Bayern Munich,USR-10021,Scout User 21,Scout;Squad Manager,2025-01-28,12,9,40
2025-01-31,FC Bayern Munich,USR-10022,Scout User 22,Scout,2025-01-11,12,8,39
2025-01-31,FC Bayern Munich,USR-10023,Scout User 23,Scout;Club2Club,2025-01-29,18,12,40
2025-01-31,FC Bayern Munich,USR-10024,Scout User 24,Scout,2025-01-25,15,14,28
2025-01-31,FC Bayern Munich,USR-10025,Scout User 25,Scout,2025-01-25,16,12,41
2025-01-31,FC Bayern Munich,USR-10026,Scout User 26,Scout;Squad Manager,2025-01-02,15,13,35
2025-01-31,FC Bayern Munich,USR-10027,Squad Manager User 27,Scout;Squad Manager;Squad Planner,2025-01-26,8,8,22
2025-01-31,FC Bayern Munich,USR-10028,Squad Manager User 28,Scout;Squad Manager,2025-01-17,14,9,19
2025-01-31,FC Bayern Munich,USR-10029,Squad Manager User 29,Scout;Squad Manager,2025-01-03,13,10,31
2025-01-31,FC Bayern Munich,USR-10030,Squad Manager User 30,Scout;Squad Manager;Admin,2025-01-12,12,5,17
2025-01-31,FC Bayern Munich,USR-10031,Squad Manager User 31,Scout;Squad Manager,2025-01-21,8,8,18
2025-01-31,FC Bayern Munich,USR-10032,Squad Manager User 32,Scout;Squad Manager,2025-01-28,12,8,22
2025-01-31,FC Bayern Munich,USR-10033,Squad Manager User 33,Scout;Squad Manager,2025-01-30,12,7,23
2025-01-31,FC Bayern Munich,USR-10034,Squad Manager User 34,Scout;Squad Manager,2025-01-24,14,8,25
2025-01-31,FC Bayern Munich,USR-10035,Squad Manager User 35,Scout;Squad Manager,2025-01-06,14,7,24
2025-01-31,FC Bayern Munich,USR-10036,Squad Manager User 36,Scout;Squad Manager;Squad Planner,2025-01-12,10,8,23
2025-01-31,FC Bayern Munich,USR-10037,Squad Manager User 37,Scout;Squad Manager;Admin,2025-01-26,6,5,23
2025-01-31,FC Bayern Munich,USR-10038,Squad Planner User 38,Scout;Squad Planner;Club2Club,2025-01-23,6,7,14
2025-01-31,FC Bayern Munich,USR-10039,Squad Planner User 39,Scout;Squad Planner,2025-01-20,8,7,22
2025-01-31,FC Bayern Munich,USR-10040,Squad Planner User 40,Scout;Squad Planner;Squad Manager,2025-01-25,6,5,21
2025-01-31,FC Bayern Munich,USR-10041,Squad Planner User 41,Scout;Squad Planner,2025-01-22,10,10,21
2025-01-31,FC Bayern Munich,USR-10042,Squad Planner User 42,Scout;Squad Planner,2025-01-12,6,9,27
2025-01-31,FC Bayern Munich,USR-10043,Squad Planner User 43,Scout;Squad Planner;Admin,2025-01-30,6,4,14
2025-01-31,FC Bayern Munich,USR-10044,Squad Planner User 44,Scout;Squad Planner,2025-01-21,12,6,21
2025-01-31,FC Bayern Munich,USR-10045,Squad Planner User 45,Scout;Squad Planner,2025-01-15,10,10,18
2025-01-31,FC Bayern Munich,USR-10046,Club2Club User 46,Scout;Club2Club,2025-01-26,5,8,16
2025-01-31,FC Bayern Munich,USR-10047,Club2Club User 47,Scout;Club2Club,2025-01-15,8,9,16
2025-01-31,FC Bayern Munich,USR-10048,Club2Club User 48,Scout;Club2Club,2025-01-20,10,9,18
2025-01-31,FC Bayern Munich,USR-10049,Club2Club User 49,Scout;Club2Club,2025-01-13,5,7,17
2025-01-31,FC Bayern Munich,USR-10050,Club2Club User 50,Scout;Club2Club;Squad Manager,2025-01-20,4,4,17
2025-01-31,Borussia Dortmund,USR-10051,Admin User 1,Scout;Admin;Squad Planner,2025-01-17,15,14,45
2025-01-31,Borussia Dortmund,USR-10052,Admin User 2,Scout;Admin,2025-01-22,14,16,38
2025-01-31,Borussia Dortmund,USR-10053,Admin User 3,Scout;Admin,2025-01-31,21,14,43
2025-01-31,Borussia Dortmund,USR-10054,Admin User 4,Scout;Admin,2025-01-21,18,11,50
2025-01-31,Borussia Dortmund,USR-10055,Scout User 5,Scout,2025-01-31,10,8,29
2025-01-31,Borussia Dortmund,USR-10056,Scout User 6,Scout;Squad Planner,2025-01-29,12,14,28
2025-01-31,Borussia Dortmund,USR-10057,Scout User 7,Scout;Admin;Squad Planner,2025-01-07,14,14,35
2025-01-31,Borussia Dortmund,USR-10058,Scout User 8,Scout;Squad Manager;Squad Planner,2025-01-15,10,8,36
2025-01-31,Borussia Dortmund,USR-10059,Scout User 9,Scout,2025-01-25,15,14,30
2025-01-31,Borussia Dortmund,USR-10060,Scout User 10,Scout;Squad Planner,2025-01-08,13,9,38
2025-01-31,Borussia Dortmund,USR-10061,Scout User 11,Scout;Admin;Squad Planner,2025-01-10,18,10,28
2025-01-31,Borussia Dortmund,USR-10062,Scout User 12,Scout,2025-01-28,13,9,38
2025-01-31,Borussia Dortmund,USR-10063,Scout User 13,Scout;Squad Planner,2025-01-09,12,10,37
2025-01-31,Borussia Dortmund,USR-10064,Scout User 14,Scout;Squad Manager;Squad Planner,2025-01-18,12,12,40
2025-01-31,Borussia Dortmund,USR-10065,Scout User 15,Scout,2025-01-30,18,9,29
2025-01-31,Borussia Dortmund,USR-10066,Scout User 16,Scout;Club2Club,2025-01-17,18,12,36
2025-01-31,Borussia Dortmund,USR-10067,Scout User 17,Scout,2025-01-05,13,12,35
2025-01-31,Borussia Dortmund,USR-10068,Scout User 18,Scout,2025-01-28,14,8,30
2025-01-31,Borussia Dortmund,USR-10069,Scout User 19,Scout,2025-01-14,14,13,40
