upload_date,club_name,user_id,user_name,role,last_login_date,logins_30d,reports_created_30d,searches_30d
2026-02-01,FC Bayern Munich,USR-20001,Admin User 1,Scout;Admin,2026-01-04,17,17,53
2026-02-01,FC Bayern Munich,USR-20002,Admin User 2,Scout;Admin,2026-01-28,16,15,37
2026-02-01,FC Bayern Munich,USR-20003,Admin User 3,Scout;Admin;Squad Planner,2026-01-13,20,15,49
2026-02-01,FC Bayern Munich,USR-20004,Admin User 4,Scout;Admin,2026-01-22,14,12,53
2026-02-01,FC Bayern Munich,USR-20005,Scout User 5,Scout;Club2Club,2026-01-08,15,14,41
2026-02-01,FC Bayern Munich,USR-20006,Scout User 6,Scout,2026-01-31,11,10,35
2026-02-01,FC Bayern Munich,USR-20007,Scout User 7,Scout;Squad Manager;Club2Club,2026-01-23,13,14,33
2026-02-01,FC Bayern Munich,USR-20008,Scout User 8,Scout,2026-01-18,14,9,41
2026-02-01,FC Bayern Munich,USR-20009,Scout User 9,Scout,2026-01-14,14,11,32
2026-02-01,FC Bayern Munich,USR-20010,Scout User 10,Scout,2026-01-29,11,10,30
2026-02-01,FC Bayern Munich,USR-20011,Scout User 11,Scout,2026-01-18,15,12,38
2026-02-01,FC Bayern Munich,USR-20012,Scout User 12,Scout;Admin,2026-01-06,16,11,41
2026-02-01,FC Bayern Munich,USR-20013,Scout User 13,Scout,2026-01-15,12,9,38
2026-02-01,FC Bayern Munich,USR-20014,Scout User 14,Scout,2026-01-04,13,8,39
2026-02-01,FC Bayern Munich,USR-20015,Scout User 15,Scout,2026-01-25,16,8,37
2026-02-01,FC Bayern Munich,USR-20016,Scout User 16,Scout;Admin,2026-01-13,11,10,42
2026-02-01,FC Bayern Munich,USR-20017,Scout User 17,Scout,2026-01-26,11,9,34
2026-02-01,FC Bayern Munich,USR-20018,Scout User 18,Scout,2026-01-22,16,12,31
2026-02-01,FC Bayern Munich,USR-20019,Scout User 19,Scout;Admin,2026-01-24,11,9,39
2026-02-01,FC Bayern Munich,USR-20020,Scout User 20,Scout;Squad Manager,2026-01-08,16,11,35
2026-02-01,FC Bayern Munich,USR-20021,Scout User 21,Scout,2026-01-26,13,9,34
2026-02-01,FC Bayern Munich,USR-20022,Scout User 22,Scout;Club2Club,2026-01-06,15,13,32
2026-02-01,FC Bayern Munich,USR-20023,Scout User 23,Scout;Squad Planner,2026-01-10,10,10,30
2026-02-01,FC Bayern Munich,USR-20024,Scout User 24,Scout,2026-01-10,16,14,39
2026-02-01,FC Bayern Munich,USR-20025,Scout User 25,Scout,2026-01-20,17,8,32
2026-02-01,FC Bayern Munich,USR-20026,Scout User 26,Scout;Squad Manager,2026-01-12,11,14,35
2026-02-01,FC Bayern Munich,USR-20027,Squad Manager User 27,Scout;Squad Manager,2026-01-22,6,8,28
2026-02-01,FC Bayern Munich,USR-20028,Squad Manager User 28,Scout;Squad Manager,2026-01-11,14,5,25
2026-02-01,FC Bayern Munich,USR-20029,Squad Manager User 29,Scout;Squad Manager,2026-01-07,9,6,23
2026-02-01,FC Bayern Munich,USR-20030,Squad Manager User 30,Scout;Squad Manager,2026-01-20,12,11,24
2026-02-01,FC Bayern Munich,USR-20031,Squad Manager User 31,Scout;Squad Manager;Admin,2026-01-20,13,6,22
2026-02-01,FC Bayern Munich,USR-20032,Squad Manager User 32,Scout;Squad Manager;Admin,2026-01-03,13,9,28
2026-02-01,FC Bayern Munich,USR-20033,Squad Manager User 33,Scout;Squad Manager;Squad Planner,2026-01-26,9,11,31
2026-02-01,FC Bayern Munich,USR-20034,Squad Manager User 34,Scout;Squad Manager,2026-01-12,11,5,27
2026-02-01,FC Bayern Munich,USR-20035,Squad Manager User 35,Scout;Squad Manager;Squad Planner,2026-01-08,10,11,25
2026-02-01,FC Bayern Munich,USR-20036,Squad Manager User 36,Scout;Squad Manager;Club2Club,2026-01-20,7,7,27
2026-02-01,FC Bayern Munich,USR-20037,Squad Manager User 37,Scout;Squad Manager,2026-01-22,13,6,21
2026-02-01,FC Bayern Munich,USR-20038,Squad Planner User 38,Scout;Squad Planner,2026-01-24,5,8,17
2026-02-01,FC Bayern Munich,USR-20039,Squad Planner User 39,Scout;Squad Planner,2026-01-23,6,4,18
2026-02-01,FC Bayern Munich,USR-20040,Squad Planner User 40,Scout;Squad Planner;Admin,2026-01-18,5,4,26
2026-02-01,FC Bayern Munich,USR-20041,Squad Planner User 41,Scout;Squad Planner,2026-02-01,5,8,17
2026-02-01,FC Bayern Munich,USR-20042,Squad Planner User 42,Scout;Squad Planner;Squad Manager,2026-01-12,8,8,27
2026-02-01,FC Bayern Munich,USR-20043,Squad Planner User 43,Scout;Squad Planner,2026-01-07,12,9,14
2026-02-01,FC Bayern Munich,USR-20044,Squad Planner User 44,Scout;Squad Planner,2026-01-05,13,8,20
2026-02-01,FC Bayern Munich,USR-20045,Squad Planner User 45,Scout;Squad Planner;Squad Manager,2026-01-12,11,8,24
2026-02-01,FC Bayern Munich,USR-20046,Club2Club User 46,Scout;Club2Club,2026-01-12,7,3,26
2026-02-01,FC Bayern Munich,USR-20047,Club2Club User 47,Scout;Club2Club,2026-01-31,8,5,26
2026-02-01,FC Bayern Munich,USR-20048,Club2Club User 48,Scout;Club2Club,2026-01-05,5,3,15
2026-02-01,FC Bayern Munich,USR-20049,Club2Club User 49,Scout;Club2Club,2026-01-09,11,4,26
2026-02-01,FC Bayern Munich,USR-20050,Club2Club User 50,Scout;Club2Club,2026-01-28,7,5,19
2026-03-01,FC Bayern Munich,USR-20001,Admin User 1,Scout;Admin,2026-02-24,17,14,43
2026-03-01,FC Bayern Munich,USR-20002,Admin User 2,Scout;Admin,2026-02-14,20,16,44
2026-03-01,FC Bayern Munich,USR-20003,Admin User 3,Scout;Admin;Squad Planner,2026-02-14,22,15,38
2026-03-01,FC Bayern Munich,USR-20004,Admin User 4,Scout;Admin,2026-02-21,22,12,49
